,req_info,t,req_id,pl_num
0,1,0,[0 0 0 0],13
1,2,401,[83  0  0  2],13
2,3,0,[0 0 0 0],9
3,4,0,[0 0 0 0],13
4,5,0,[0 0 0 0],13
5,6,402,[42  1  1  1],13
6,7,0,[0 0 0 0],11
7,8,403,[143   0   0   2],13
8,9,404,[74  1  0  2],2
9,10,0,[0 0 0 0],12
10,11,0,[0 0 0 0],13
11,12,0,[0 0 0 0],13
12,13,0,[0 0 0 0],13
13,14,0,[0 0 0 0],13
14,15,0,[0 0 0 0],13
15,16,0,[0 0 0 0],13
16,17,0,[344   1   0   0],13
17,18,0,[0 0 0 0],1
18,19,0,[0 0 0 0],13
19,20,0,[0 0 0 0],13
20,21,0,[0 0 0 0],13
21,22,0,[0 0 0 0],13
22,23,0,[0 0 0 0],13
23,24,405,[56  1  0  1],13
24,25,0,[0 0 0 0],8
25,26,0,[0 0 0 0],13
26,27,0,[0 0 0 0],13
27,28,0,[0 0 0 0],13
28,29,0,[0 0 0 0],13
29,30,0,[0 0 0 0],13
30,31,0,[0 0 0 0],13
31,32,0,[0 0 0 0],13
32,33,406,[43  0  0  1],13
33,34,0,[0 0 0 0],8
34,35,0,[0 0 0 0],13
35,36,0,[0 0 0 0],13
36,37,0,[0 0 0 0],13
37,38,0,[0 0 0 0],13
38,39,0,[0 0 0 0],13
39,40,0,[0 0 0 0],13
40,41,0,[0 0 0 0],13
41,42,0,[0 0 0 0],13
42,43,0,[0 0 0 0],13
43,44,407,[18  1  0  1],13
44,45,0,[0 0 0 0],8
45,46,0,[0 0 0 0],13
46,47,0,[0 0 0 0],13
47,48,1,[1301    1    0    0],13
48,49,0,[0 0 0 0],1
49,50,0,[0 0 0 0],13
50,51,0,[0 0 0 0],13
51,52,0,[0 0 0 0],13
52,53,0,[0 0 0 0],13
53,54,0,[0 0 0 0],13
54,55,0,[0 0 0 0],13
55,56,0,[0 0 0 0],13
56,57,0,[0 0 0 0],13
57,58,0,[0 0 0 0],13
58,59,0,[0 0 0 0],13
59,60,0,[0 0 0 0],13
60,61,0,[0 0 0 0],13
61,62,0,[0 0 0 0],13
62,63,0,[0 0 0 0],13
63,64,0,[0 0 0 0],13
64,65,0,[0 0 0 0],13
65,66,0,[0 0 0 0],13
66,67,0,[0 0 0 0],13
67,68,0,[0 0 0 0],13
68,69,0,[0 0 0 0],13
69,70,0,[0 0 0 0],13
70,71,408,[23  1  0  1],13
71,72,0,[0 0 0 0],8
72,73,0,[0 0 0 0],13
73,74,0,[0 0 0 0],13
74,75,0,[0 0 0 0],13
75,76,0,[0 0 0 0],13
76,77,0,[0 0 0 0],13
77,78,0,[0 0 0 0],13
78,79,0,[0 0 0 0],13
79,80,0,[0 0 0 0],13
80,81,0,[0 0 0 0],13
81,82,0,[0 0 0 0],13
82,83,0,[0 0 0 0],13
83,84,0,[0 0 0 0],13
84,85,0,[0 0 0 0],13
85,86,0,[0 0 0 0],13
86,87,0,[0 0 0 0],13
87,88,0,[0 0 0 0],13
88,89,2,[301   0   0   0],13
89,90,0,[0 0 0 0],4
90,91,0,[0 0 0 0],13
91,92,0,[0 0 0 0],13
92,93,0,[0 0 0 0],13
93,94,0,[0 0 0 0],13
94,95,0,[0 0 0 0],13
95,96,0,[0 0 0 0],13
96,97,0,[0 0 0 0],13
97,98,0,[0 0 0 0],13
98,99,0,[0 0 0 0],13
99,100,0,[0 0 0 0],13
100,101,0,[0 0 0 0],13
101,102,0,[0 0 0 0],13
102,103,0,[0 0 0 0],13
103,104,0,[0 0 0 0],13
104,105,0,[0 0 0 0],13
105,106,0,[0 0 0 0],13
106,107,0,[0 0 0 0],13
107,108,0,[0 0 0 0],13
108,109,0,[0 0 0 0],13
109,110,0,[0 0 0 0],13
110,111,0,[0 0 0 0],13
111,112,0,[0 0 0 0],13
112,113,0,[0 0 0 0],13
113,114,0,[0 0 0 0],13
114,115,0,[0 0 0 0],13
115,116,0,[0 0 0 0],13
116,117,0,[0 0 0 0],13
117,118,0,[0 0 0 0],13
118,119,0,[0 0 0 0],13
119,120,0,[0 0 0 0],13
120,121,0,[0 0 0 0],13
121,122,0,[0 0 0 0],13
122,123,0,[0 0 0 0],13
123,124,0,[0 0 0 0],13
124,125,0,[0 0 0 0],13
125,126,0,[0 0 0 0],13
126,127,0,[0 0 0 0],13
127,128,0,[0 0 0 0],13
128,129,0,[0 0 0 0],13
129,130,409,[45  1  1  1],13
130,131,0,[0 0 0 0],2
131,132,0,[0 0 0 0],13
132,133,0,[0 0 0 0],13
133,134,0,[0 0 0 0],13
134,135,0,[0 0 0 0],13
135,136,0,[0 0 0 0],13
136,137,0,[0 0 0 0],13
137,138,0,[0 0 0 0],13
138,139,0,[0 0 0 0],13
139,140,0,[0 0 0 0],13
140,141,0,[0 0 0 0],13
141,142,0,[0 0 0 0],13
142,143,0,[0 0 0 0],13
143,144,0,[0 0 0 0],13
144,145,0,[0 0 0 0],13
145,146,0,[0 0 0 0],13
146,147,0,[0 0 0 0],13
147,148,0,[0 0 0 0],13
148,149,0,[0 0 0 0],13
149,150,0,[0 0 0 0],13
150,151,0,[0 0 0 0],13
151,152,0,[0 0 0 0],13
152,153,0,[0 0 0 0],13
153,154,0,[0 0 0 0],13
154,155,0,[0 0 0 0],13
155,156,0,[0 0 0 0],13
156,157,0,[0 0 0 0],13
157,158,0,[0 0 0 0],13
158,159,0,[0 0 0 0],13
159,160,0,[0 0 0 0],13
160,161,0,[0 0 0 0],13
161,162,0,[0 0 0 0],13
162,163,0,[0 0 0 0],13
163,164,0,[0 0 0 0],13
164,165,0,[0 0 0 0],13
165,166,3,[1334    1    0    0],13
166,167,0,[0 0 0 0],10
167,168,0,[0 0 0 0],13
168,169,0,[0 0 0 0],13
169,170,0,[0 0 0 0],13
170,171,0,[0 0 0 0],13
171,172,0,[0 0 0 0],13
172,173,0,[0 0 0 0],13
173,174,0,[0 0 0 0],13
174,175,0,[0 0 0 0],13
175,176,0,[0 0 0 0],13
176,177,0,[0 0 0 0],13
177,178,0,[0 0 0 0],13
178,179,0,[0 0 0 0],13
179,180,0,[0 0 0 0],13
180,181,0,[0 0 0 0],13
181,182,0,[0 0 0 0],13
182,183,0,[0 0 0 0],13
183,184,0,[0 0 0 0],13
184,185,0,[0 0 0 0],13
185,186,0,[0 0 0 0],13
186,187,0,[0 0 0 0],13
187,188,0,[0 0 0 0],13
188,189,0,[0 0 0 0],13
189,190,0,[0 0 0 0],13
190,191,0,[0 0 0 0],13
191,192,0,[0 0 0 0],13
192,193,0,[0 0 0 0],13
193,194,0,[0 0 0 0],13
194,195,0,[0 0 0 0],13
195,196,0,[0 0 0 0],13
196,197,0,[0 0 0 0],13
197,198,0,[0 0 0 0],13
198,199,0,[0 0 0 0],13
199,200,0,[0 0 0 0],13
200,201,0,[0 0 0 0],13
201,202,4,[825   1   0   0],13
202,203,0,[0 0 0 0],7
203,204,0,[0 0 0 0],13
204,205,0,[0 0 0 0],13
205,206,0,[0 0 0 0],13
206,207,0,[0 0 0 0],13
207,208,0,[0 0 0 0],13
208,209,0,[0 0 0 0],13
209,210,0,[0 0 0 0],13
210,211,0,[0 0 0 0],13
211,212,0,[0 0 0 0],13
212,213,0,[0 0 0 0],13
213,214,0,[0 0 0 0],13
214,215,0,[0 0 0 0],13
215,216,0,[0 0 0 0],13
216,217,0,[0 0 0 0],13
217,218,0,[0 0 0 0],13
218,219,0,[0 0 0 0],13
219,220,0,[0 0 0 0],13
220,221,0,[0 0 0 0],13
