,episode,acc rewards,total rev,park rev,char rev,park refuse,char refuse,travel cost,cruise cost
0,1,-2150,10030.199999999997,7227.6,2802.6000000000004,285,24,2626,3.2914788561054666
1,2,-900,10556.899999999996,7117.5,3439.4000000000005,282,4,2762,24.441441840532246
2,3,-1040,10602.899999999998,6997.0,3605.9,298,1,2501,31.9854426256692
3,4,-1260,10787.399999999998,7299.5,3487.9000000000005,306,2,2466,15.761712604358136
4,5,-1040,10647.399999999998,6984.5,3662.9,301,0,2579,35.472495275861164
5,6,-760,10863.399999999998,7200.5,3662.9,287,0,2833,12.987218969827776
6,7,-700,11180.499999999998,7517.6,3662.9,284,0,2722,37.94474988884213
7,8,-960,11043.499999999998,7380.6,3662.9,297,0,2561,29.891204011662772
8,9,-1020,10381.599999999999,6718.700000000001,3662.9,300,0,2464,11.380761086293756
9,10,-740,10838.099999999999,7192.400000000001,3645.7000000000003,283,1,2844,21.840482753888665
10,11,-500,11255.999999999998,7593.1,3662.9,274,0,2938,30.64046202598133
11,12,-920,10848.799999999997,7185.9,3662.9,295,0,2643,7.160486749732248
12,13,-1020,10998.399999999998,7335.5,3662.9,300,0,2630,8.552222008340046
13,14,-920,11077.299999999997,7414.4,3662.9,295,0,2517,15.973281361751628
14,15,-1000,10598.799999999997,6935.9,3662.9,299,0,2581,36.41848005171358
15,16,-1000,10798.799999999997,7135.9,3662.9,299,0,2575,11.871611578458014
16,17,-1140,10684.899999999998,7022.0,3662.9,306,0,2482,15.920286147966708
17,18,-1100,10709.799999999997,7046.9,3662.9,304,0,2556,2.770134530717955
18,19,-1080,10879.899999999998,7217.0,3662.9,303,0,2493,1.4864896684770272
19,20,-780,10907.999999999998,7245.1,3662.9,288,0,2554,2.6989342398565688
20,21,-1080,10554.899999999998,6892.0,3662.9,303,0,2607,1.2245640752605704
21,22,-940,10744.399999999998,7081.5,3662.9,296,0,2664,2.3367145535530853
22,23,-940,10557.299999999997,6894.4,3662.9,296,0,2702,10.59805422072915
23,24,-700,10927.899999999998,7265.0,3662.9,284,0,2600,24.301362774322374
24,25,-680,11340.899999999998,7678.0,3662.9,283,0,2753,32.439380383787295
25,26,-940,10640.999999999998,6978.1,3662.9,296,0,2596,20.068250256500352
26,27,-1000,10637.499999999998,6974.6,3662.9,299,0,2543,28.971894126428285
27,28,-1040,10488.899999999998,6826.0,3662.9,301,0,2647,12.89784208554775
28,29,-1120,10142.499999999998,6479.6,3662.9,305,0,2425,13.528408161545352
29,30,-960,10563.399999999998,6900.5,3662.9,297,0,2877,9.890523097812546
30,31,-980,10472.799999999997,6850.4,3622.4,295,1,2642,29.80631986875243
31,32,-1060,10452.999999999998,6914.6,3538.4000000000005,296,2,2746,15.854713043874636
32,33,-920,10713.499999999998,7050.6,3662.9,295,0,2585,6.1510410942668825
33,34,-980,10891.3,7273.1,3618.2000000000003,295,1,2566,11.958214177335085
